Review,Rating
"As an Global Enterprise customer of AT&T, I can say AT&T is very responsive to our needs. The area's that are lacking are not really business impacting, more ""It'd be nice if..."" type things. The stuff that really matters is top notch.",4.0
"Self-driving carts Internal systems of airborne vehicles such as brakes, control vehicles and emergency situations. In traditional networks, a device sends a data information hundreds of kilometers away. It takes time to move data across large physical distances. As a result, delays may occur. With Edge computing, critical functions can be processed in real time on the edge of the network. Verita from secondary systems such as updating the car's maps or being in-car infotainment can be processed in the cloud.",5.0
"Great Experience. We honestly have not had any issues. If we ever come across any questions, customer service is knowledgeable.  AT&T also made it very easy to switch from our previous provider. ",5.0
"While they have a huge footprint their service has deteriorated so badly that if you want AT&T Network services, I highly recommend purchasing through a re-seller.",2.0
"I think this service is ok. I believe they charge a little to much for what you are provided. Their claim is that they cover more areas when than their competition but living in a metropolitan area, I feel every network would cover my area.",4.0
I am very satisfied with our AT&T APvN service.  We have over 99.9% up time and it is a very stable product.,5.0
"Great sales experience, good implementation experience, terrible Support.  All is good until you need support. Count on hold times longer than a hour, support personnel that don't know what there talking about, and resolutions that for any other company take less than a hour be up to 24 hours with AT&T.  Not a good choice for any SMB as your priority will be but a drip out of an entire ocean. We have multiple location in the United States so I deal with many telecom vendors and by far AT&T's support performance rates last on the list. ",2.0
"I utilize AT&T Network Services daily during responsibilities and job duties with Right Management. I have found the AT&T Network to be reliable and stable with virtually no interruptions of service or connectivity issues.  Whether I am hard-wired or utilizing a wireless connection, I can rest assured my  telecommunications will run smoothly, which allows me to provide the best service to my Clients.  

I am very pleased with my AT&T Network Services",5.0
"Overall, AT&T provides the network services that I need but their customer service majorly lacks. Throughout the years I have had many issues with getting different answers to the same questions and being passed around from one customer service representative to another. However, this is sometimes expected with large companies. ",4.0
"Fast, reliable service. I would recommend this product to anyone in need of network services. With AT&T, we were able to get up and running ASAP. ",4.0
quite stable service with minimal interruption.  generally good customer service. customer representatives are helpful and efficient and easy to to deal with.  very customer orientated ,4.0
"Good coverage area in most of the places throughout US. Some palces we do face netwrok coverage issue. ATT should be able to make  almost 100% coverage area .

International calling should be made cheaper 

Mobile plans prepaid and postpaid are very expensive. Should be made better prices
",4.0
"Satisfied with their service.  Our rep was knowledgeable and did what she said she would do. Billing however, has been more of a challenge due to their terms.",4.0
Great uptime and value added services like leased equipment. Excellent support staff available when the business requires action not to mention global reach into Asia and India ,5.0
We rarely have any problem with our AT&T service.  When we do have a problem AT&T is always quick to resolve the issue.,4.0
"Consistent network speed, inconsistent equipment and software. There always seems to be changes in their GUI and the process of IP passthrough.",3.0
Very good experience. we never face any issues. If we ever have any problem regarding network or anything related to AT&T(VPN) then customer service plays there roll well .,4.0
"For my phone service, I do not get much service in East Texas. As for my internet, it is spotty and when I call reps to come out, they are never on time.",3.0
Service works very well once it is started. A great network to join without problem.AT&T also made it very easy to switch from our previous provider. ,4.0
"Did not like when they chose to push updates through our systems.  Happened at inconvenient times.  When this would happen, the remote sites VPN boxes would have issues and they would be without service until an IT representative from our company would come onsite.",3.0
The pricing is steep compared to other vendors. The overall customer service is good; whenever we have needed technical support they have been more than helpful.,3.0
"Internet connection is flaky. I've had At&T for a number of years but since starting, my connections have been problematic.",3.0
"Network system is well designed in theory, but implementation in our facility is tricky due to space limitations and competing resource interests. Planning for implementation could use a bit more latitude given our inherent limitations. ",4.0
I never have issues with services and it is always available during travel.   I travel frequently between business and personal and this service is always exceptional.,5.0
At&t is one of the best business services we have had for a growing business as the one we have. They always arrive on time and their phone lines & numbers are exactly what we ask for.,5.0
Extremely knowledgeable to quickly identify and solve any network related issues. Put tools into our network that gave us visibility into all aspects of our network. ,5.0
"AT&T support is beyond awful.  Please go with any other network provider.  The faster AT&T goes out of business, the better the industry will be.",1.0
"At&T overall is great, though signal and overall internet can get lost at times with a lot of areas without coverage",4.0
"Overall AT&T provides satisfactory network performance and reliability, however support is sometimes non-existent",4.0
"Amazing. offers an attractively prepaid plan, and its network performance remains strong, firmly keeping this carrier in the upper rank of cellphone service providers.",5.0
"They provide an overall good service on the cell phone and cable service. Even sometime they have cable speed issue, but not too often. The people working in ATT store is nice and welcoming.",4.0
"The internet service is very good, it is very stable and the bandwidth is adequate for the operation, but the support service is poor.",4.0
I am neither satisfied or dissatisfied currently...need more data...there is no way for me to accurately decide if my money has been well spent or not as of now,3.0
"Great speed once in place but slow coming to service area. Minimal problems after installation, adequate equipment and user friendly",4.0
The have been able to provide exceptional services. They have changed the way we work in the network services. They provide so many options that changes their competitive. ,4.0
We use AT&T for our company mobile phone plan.  The plan pricing is good and the service is good in the NYC area. ,4.0
"AT&T is among the most popular in providers of network services for a reason - they have comprehensive service offerings, and they are as functional as they are comprehensive.",5.0
We have great speed an continuity with our services. We rarely have issues with network and this is so important in our offices.,4.0
"Normally our managers use the service on a daily basis, the managers use their cells phone to connect with clients and colleagues all over the world.",4.0
"I have used  AT&T Network Services this product help some problem present in the business, We needed change the infrastructure to develop digital services for cloud, the speed and connectivity was better with this server after service implemented the red worked  fine and got solution whit the several problems. ",5.0
Best network service provider who gives complete end to end access for the network coverage inside the organization ,5.0
"Great Experience with this service provider, Lots of good work still needed in near future to give more better service.",4.0
"I'm happy with the service provider, they are giving  good network coverage and satisfactory services.",4.0
We are happy on a global scale with our AVPN.  We reduced our WAN latency significantly moving to AT&T from Verizon MPLS.  Implementation is smooth and support is OK.  Support groups are not as customer focused as sales and engineering but the product reliability and performance is rock solid. ,4.0
It was a smooth experience and the customer service was smart and very helpful. The product/services are great and we would recommend it others. ,4.0
"Provisioning services take more than 2 weeks to get one link up, implementation was a nightmare.

We have a lot of problems with invoices and account management.

We have requested links termination since 2 years ago and we are still receiving invoices.",3.0
Service works very well once it is installed.  Processing orders was very time consuming with some circuits taking very long to get in place.  Some of that is due to physical site locations.,4.0
Technical services are OK and relatively stable but the supplier is slow to bring forward innovation and commercially change can be difficult,2.0
Lack of communication and understanding of installation steps.,2.0
"Overall, the outcome was satisfactory.  There was a strong disconnect between national reps and local reps in terms of service delivery and expectations, though, that inhibited our ability to support a major business process.",4.0
Works great fast and effiecient!,5.0
"For a large multinational telco - AT&T are surprisingly nimble to react to fast-paced environment, the relationship management shown by the account team is outstanding.  

AT&T's drive for continual innovation makes them a perfect technology fit for our organisation ",5.0
"Overall experience is positive, on the strength of customer engagement and flexibility of service.
",4.0
"Reliable solutions. However innivation lagging behind other vendors for regions outside of US e,g, agile network capability",4.0
They brought an outstanding solution that both decreased price and provided vastly superior features.,5.0
engaged with business outcomes and constantly looking to reduce cost and add services,4.0
"Been in network for the last 15 years, ATT always seems to ""me"" the easier of the ISP's to work with and get circuits on time.",5.0
getting best support in services front and following proper SLA's.,4.0
"This was a technical refresh of a global network backbone.  AT&T's global presence, plus thier level of skill and dedication to my company, were deciding factors.",4.0
"I was very disapointed with the service and support that we received after the sales people closed the deal. Engineering, architecture, account management, and support were all sub par. Not what you would expect from a huge company and reputation like ATT's. ",1.0
MPLS provisioning was delayed for two months for many reasons. This delayed has caused an impact on our business operational effectiveness.  Local account team and management do not have a sense of urgency and lack of customer focus.  The project was completed after escalation to the AT&T executive management team.,4.0
AT&T AVPN solutions have provide our clinics and smaller facilities for remote access back to primary and secondary data centers and wide area networks solution..      the Cost  and network speeds are impressive.   we use data circuits at our facilities from this vendor and they are a great provider of  high speed and capacity for needs..,4.0
Not timely responsive,3.0
The network is well established and solid in performance and uptime.  The major issue with the billing and interdepartmental communications with AT&T.,3.0
Very easy implmentation process very good overall,3.0
"While I think the service is fine, the support is at times suspect. When we open a ticket it is generally acted upon quickly however when a solution is found the ticket is closed. There is no feedback as to what occurred or what was done to resolve the issue. ",4.0
Chosing a managed service was an excellent option.  It was not core capability of the infrastrcure team.,4.0
"Very strong on overall reliability and incident management. Very poor on IMACs and overall technology conversion (EVPN to AVPN, for example). Frustrating on the contracting and some very prolonged commercial issues that drive internal cost (manage, follow-up, reconciliation, etc.).",4.0
AT&T in this latest engagement has improved in terms of flexibility and cost concessions.,4.0
"AT&T has the technical capabilities. However, in my opinion your experience depends on both your account manager and assigned project manager. They do nothing quickly.",3.0
Good experience.,4.0
"The MPLS service is solid. The current account team is solid. The implementation team is not well versed in communication. Sources indicate European or Asian outsourcing which cause a communication delay going either direction. The project status for the first three migrations had to be requested throughout the project so far. I had to constantly ask for updates weekly and when dates changed, we did not know about it until I asked, plus the 24+ hour later delayed response. Once the circuits were brought up, the service is solid. Based on negations of cost and credit, we are able to overlook the slow to communicate issue while receiving faster pipes, at a reduced cost to the Opex budget.",4.0
"The service is functional and stable, ordering and billing are obtuse.",4.0
